CO2,b-1,b-2,b-3
9.90E-05,-0.000511037,-0.016472915,0.000527217
-0.00159971,9.89609E-05,-0.000511037,-0.016472915
0.003848759,-0.00159971,9.89609E-05,-0.000511037
0.001332851,0.003848759,-0.00159971,9.89609E-05
0.011700327,0.001332851,0.003848759,-0.00159971
0.003833347,0.011700327,0.001332851,0.003848759
-0.018583842,0.003833347,0.011700327,0.001332851
-0.001887803,-0.018583842,0.003833347,0.011700327
-0.007912386,-0.001887803,-0.018583842,0.003833347
0.008141994,-0.007912386,-0.001887803,-0.018583842
0.004855652,0.008141994,-0.007912386,-0.001887803
-0.007305808,0.004855652,0.008141994,-0.007912386
0.000521545,-0.007305808,0.004855652,0.008141994
-8.27E-06,0.000521545,-0.007305808,0.004855652
-0.001017732,-8.27417E-06,0.000521545,-0.007305808
-0.011049083,-0.001017732,-8.27417E-06,0.000521545
0.001231156,-0.011049083,-0.001017732,-8.27417E-06
0.001949024,0.001231156,-0.011049083,-0.001017732
0.000884956,0.001949024,0.001231156,-0.011049083
0.00085915,0.000884956,0.001949024,0.001231156
0.001550142,0.00085915,0.000884956,0.001949024
-0.012931142,0.001550142,0.00085915,0.000884956
-0.002360459,-0.012931142,0.001550142,0.00085915
0.005441901,-0.002360459,-0.012931142,0.001550142
-0.00479052,0.005441901,-0.002360459,-0.012931142
-0.002009881,-0.00479052,0.005441901,-0.002360459
0.003630148,-0.002009881,-0.00479052,0.005441901
0.004949159,0.003630148,-0.002009881,-0.00479052
-0.007307476,0.004949159,0.003630148,-0.002009881
0.010437619,-0.007307476,0.004949159,0.003630148
0.001781577,0.010437619,-0.007307476,0.004949159
0,0.001781577,0.010437619,-0.007307476
-0.002855473,0,0.001781577,0.010437619
0.012492883,-0.002855473,0,0.001781577
0.006558055,0.012492883,-0.002855473,0
-0.007501253,0.006558055,0.012492883,-0.002855473
-0.016705298,-0.007501253,0.006558055,0.012492883
-0.001128117,-0.016705298,-0.007501253,0.006558055
-0.001441238,-0.001128117,-0.016705298,-0.007501253
0.001553044,-0.001441238,-0.001128117,-0.016705298
0.002266962,0.001553044,-0.001441238,-0.001128117
-0.006701421,0.002266962,0.001553044,-0.001441238
0.005857804,-0.006701421,0.002266962,0.001553044
5.89E-05,0.005857804,-0.006701421,0.002266962
0.011663525,5.89102E-05,0.005857804,-0.006701421
-0.006305212,0.011663525,5.89102E-05,0.005857804
0.004955634,-0.006305212,0.011663525,5.89102E-05
-0.003956619,0.004955634,-0.006305212,0.011663525
0.00187327,-0.003956619,0.004955634,-0.006305212
0.000133555,0.00187327,-0.003956619,0.004955634
0.001343716,0.000133555,0.00187327,-0.003956619
0.008934971,0.001343716,0.000133555,0.00187327
-0.000330442,0.008934971,0.001343716,0.000133555
0.012759276,-0.000330442,0.008934971,0.001343716
-0.003557615,0.012759276,-0.000330442,0.008934971
0.001523117,-0.003557615,0.012759276,-0.000330442
-0.003924647,0.001523117,-0.003557615,0.012759276
0.004810218,-0.003924647,0.001523117,-0.003557615
-0.002769382,0.004810218,-0.003924647,0.001523117
0.0014254,-0.002769382,0.004810218,-0.003924647
0.004679128,0.0014254,-0.002769382,0.004810218
0.00040711,0.004679128,0.0014254,-0.002769382
0.002173081,0.00040711,0.004679128,0.0014254
-0.004223042,0.002173081,0.00040711,0.004679128
-0.017909863,-0.004223042,0.002173081,0.00040711
0.004999253,-0.017909863,-0.004223042,0.002173081
-0.008114361,0.004999253,-0.017909863,-0.004223042
-0.000649794,-0.008114361,0.004999253,-0.017909863
0.004584862,-0.000649794,-0.008114361,0.004999253
0.008862335,0.004584862,-0.000649794,-0.008114361
-0.012485812,0.008862335,0.004584862,-0.000649794
0.00360653,-0.012485812,0.008862335,0.004584862
0.007054352,0.00360653,-0.012485812,0.008862335
-0.000288439,0.007054352,0.00360653,-0.012485812
-0.001937218,-0.000288439,0.007054352,0.00360653
-0.000173449,-0.001937218,-0.000288439,0.007054352
-0.001528269,-0.000173449,-0.001937218,-0.000288439
0.006395459,-0.001528269,-0.000173449,-0.001937218
0.000657678,0.006395459,-0.001528269,-0.000173449
8.22E-05,0.000657678,0.006395459,-0.001528269
0.000533969,8.21558E-05,0.000657678,0.006395459
-0.008374728,0.000533969,8.21558E-05,0.000657678
0.009629476,-0.008374728,0.000533969,8.21558E-05
-0.003534583,0.009629476,-0.008374728,0.000533969
0.013151506,-0.003534583,0.009629476,-0.008374728
0.000812315,0.013151506,-0.003534583,0.009629476
-0.003027475,0.000812315,0.013151506,-0.003534583
-0.00061059,-0.003027475,0.000812315,0.013151506
0.00734785,-0.00061059,-0.003027475,0.000812315
0.000994671,0.00734785,-0.00061059,-0.003027475
0.002601348,0.000994671,0.00734785,-0.00061059
-0.000354541,0.002601348,0.000994671,0.00734785
-0.000169273,-0.000354541,0.002601348,0.000994671
-0.006820436,-0.000169273,-0.000354541,0.002601348
0.004602534,-0.006820436,-0.000169273,-0.000354541
-0.00206044,0.004602534,-0.006820436,-0.000169273
0.008202097,-0.00206044,0.004602534,-0.006820436
-0.000851283,0.008202097,-0.00206044,0.004602534
-0.000474231,-0.000851283,0.008202097,-0.00206044
-0.009078993,-0.000474231,-0.000851283,0.008202097
-0.005818672,-0.009078993,-0.000474231,-0.000851283
-0.000195907,-0.005818672,-0.009078993,-0.000474231
-0.012948736,-0.000195907,-0.005818672,-0.009078993
0.000289503,-0.012948736,-0.000195907,-0.005818672
0.003563986,0.000289503,-0.012948736,-0.000195907
-0.007003782,0.003563986,0.000289503,-0.012948736
-4.15E-05,-0.007003782,0.003563986,0.000289503
-0.001120258,-4.14893E-05,-0.007003782,0.003563986
-0.001727962,-0.001120258,-4.14893E-05,-0.007003782
3.33E-05,-0.001727962,-0.001120258,-4.14893E-05
0.000158111,3.32876E-05,-0.001727962,-0.001120258
0.002812261,0.000158111,3.32876E-05,-0.001727962
-0.00046463,0.002812261,0.000158111,3.32876E-05
0.000415041,-0.00046463,0.002812261,0.000158111
0.018785264,0.000415041,-0.00046463,0.002812261
0.000171032,0.018785264,0.000415041,-0.00046463
-0.001245878,0.000171032,0.018785264,0.000415041
-0.002829143,-0.001245878,0.000171032,0.018785264
-0.001659785,-0.002829143,-0.001245878,0.000171032
0.003079393,-0.001659785,-0.002829143,-0.001245878
0.010009961,0.003079393,-0.001659785,-0.002829143
-0.000291017,0.010009961,0.003079393,-0.001659785
-0.000840961,-0.000291017,0.010009961,0.003079393
-0.000356091,-0.000840961,-0.000291017,0.010009961
-0.001934909,-0.000356091,-0.000840961,-0.000291017
0.002522692,-0.001934909,-0.000356091,-0.000840961
-0.00355201,0.002522692,-0.001934909,-0.000356091
